Model,ModelType,Dataset,Features,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Balanced Accuracy,MCC,TN,FP,FN,TP,TuneROC-AUC,BestParams,Top20Importances,Sampling
Logistic Regression - Baseline,LogisticRegression,Baseline,432,0.7058370305144444,0.08779190067986994,0.8038877952755905,0.1582963878188822,0.8335182250765487,0.2067045882700887,0.7531153753130785,0.19863391924099813,80098,33946,797,3267,0.8538374558666219,"{""C"": 1.9942666309136752}","[{""rank"": 1, ""feature"": ""C11"", ""importance"": 9.434433340604025, ""importance_pct"": 1.788370329809255}, {""rank"": 2, ""feature"": ""V283"", ""importance"": 8.448727186330578, ""importance_pct"": 1.601522050048114}, {""rank"": 3, ""feature"": ""C14"", ""importance"": 8.126130312171222, ""importance_pct"": 1.54037129966305}, {""rank"": 4, ""feature"": ""V300"", ""importance"": 7.6892506752340495, ""importance_pct"": 1.4575573613808535}, {""rank"": 5, ""feature"": ""V218"", ""importance"": 7.161957039605907, ""importance_pct"": 1.3576047453613895}, {""rank"": 6, ""feature"": ""V258"", ""importance"": 6.820283896418429, ""importance_pct"": 1.2928379395862761}, {""rank"": 7, ""feature"": ""V87"", ""importance"": 6.742733756930198, ""importance_pct"": 1.278137706564709}, {""rank"": 8, ""feature"": ""V45"", ""importance"": 6.655858653658943, ""importance_pct"": 1.2616698540206919}, {""rank"": 9, ""feature"": ""C12"", ""importance"": 6.364920453751269, ""importance_pct"": 1.206520251947221}, {""rank"": 10, ""feature"": ""V123"", ""importance"": 6.061525548960994, ""importance_pct"": 1.1490093844309854}, {""rank"": 11, ""feature"": ""V201"", ""importance"": 5.604564715104176, ""importance_pct"": 1.0623888988489538}, {""rank"": 12, ""feature"": ""V229"", ""importance"": 5.119213520093902, ""importance_pct"": 0.9703867991618235}, {""rank"": 13, ""feature"": ""V257"", ""importance"": 4.640252540187529, ""importance_pct"": 0.8795960145246102}, {""rank"": 14, ""feature"": ""V200"", ""importance"": 4.603988855702579, ""importance_pct"": 0.8727219506522912}, {""rank"": 15, ""feature"": ""V187"", ""importance"": 4.572770848265798, ""importance_pct"": 0.8668043341680636}, {""rank"": 16, ""feature"": ""V223"", ""importance"": 4.4176228493295255, ""importance_pct"": 0.8373948224348295}, {""rank"": 17, ""feature"": ""V44"", ""importance"": 4.3908909011602875, ""importance_pct"": 0.8323275734291989}, {""rank"": 18, ""feature"": ""V199"", ""importance"": 4.256993007009052, ""importance_pct"": 0.8069461845869647}, {""rank"": 19, ""feature"": ""V115"", ""importance"": 4.2188659818641066, ""importance_pct"": 0.799718909977937}, {""rank"": 20, ""feature"": ""V241"", ""importance"": 4.071051929706277, ""importance_pct"": 0.7716996049847857}]",
Logistic Regression - Feature Engineering,LogisticRegression,Feature Engineering,439,0.7090798252446913,0.08854845719252499,0.8021653543307087,0.15949119373776907,0.8333982163984505,0.20944615944621509,0.7539640212080045,0.19988170994678484,80488,33556,804,3260,0.8516996235225341,"{""C"": 6.051195987836167}","[{""rank"": 1, ""feature"": ""C11"", ""importance"": 12.08917656571138, ""importance_pct"": 1.5912671194171206}, {""rank"": 2, ""feature"": ""V218"", ""importance"": 10.743005738691993, ""importance_pct"": 1.414074126783511}, {""rank"": 3, ""feature"": ""V300"", ""importance"": 10.678061384272636, ""importance_pct"": 1.4055256689776743}, {""rank"": 4, ""feature"": ""V258"", ""importance"": 10.297279553527604, ""importance_pct"": 1.3554043390721604}, {""rank"": 5, ""feature"": ""V87"", ""importance"": 10.200478604422608, ""importance_pct"": 1.3426626799027475}, {""rank"": 6, ""feature"": ""V45"", ""importance"": 10.181893406773645, ""importance_pct"": 1.3402163582888713}, {""rank"": 7, ""feature"": ""V283"", ""importance"": 9.876871445984676, ""importance_pct"": 1.3000671045936043}, {""rank"": 8, ""feature"": ""C12"", ""importance"": 9.285542405930789, ""importance_pct"": 1.2222319887708195}, {""rank"": 9, ""feature"": ""C14"", ""importance"": 8.91836660944274, ""importance_pct"": 1.1739015860489}, {""rank"": 10, ""feature"": ""V201"", ""importance"": 8.466300981435444, ""importance_pct"": 1.1143973538328713}, {""rank"": 11, ""feature"": ""V123"", ""importance"": 8.360449098262107, ""importance_pct"": 1.100464343564839}, {""rank"": 12, ""feature"": ""V229"", ""importance"": 7.725514274794084, ""importance_pct"": 1.0168895109808527}, {""rank"": 13, ""feature"": ""V257"", ""importance"": 7.017491258564165, ""importance_pct"": 0.9236942681623516}, {""rank"": 14, ""feature"": ""V187"", ""importance"": 6.955543114946486, ""importance_pct"": 0.9155401938536567}, {""rank"": 15, ""feature"": ""V200"", ""importance"": 6.921007610095703, ""importance_pct"": 0.9109943744570411}, {""rank"": 16, ""feature"": ""V223"", ""importance"": 6.696933271614013, ""importance_pct"": 0.8815000474288152}, {""rank"": 17, ""feature"": ""V44"", ""importance"": 6.691686872588376, ""importance_pct"": 0.8808094774615839}, {""rank"": 18, ""feature"": ""V199"", ""importance"": 6.438127641049474, ""importance_pct"": 0.847434130035778}, {""rank"": 19, ""feature"": ""V115"", ""importance"": 6.1929061233458516, ""importance_pct"": 0.8151562543695312}, {""rank"": 20, ""feature"": ""V241"", ""importance"": 6.179475047570755, ""importance_pct"": 0.8133883565194882}]",
Logistic Regression - Reduced Baseline,LogisticRegression,Reduced Baseline,342,0.6881413621431233,0.08344138509648387,0.8075787401574803,0.15125469502500172,0.8247604525722494,0.1771287894754292,0.7457319536429785,0.1900780454284889,77993,36051,782,3282,0.8485748977892813,"{""C"": 9.177237615941623}","[{""rank"": 1, ""feature"": ""V218"", ""importance"": 14.410779421659884, ""importance_pct"": 1.814955791945038}, {""rank"": 2, ""feature"": ""V45"", ""importance"": 14.05158749031414, ""importance_pct"": 1.7697176089751405}, {""rank"": 3, ""feature"": ""V258"", ""importance"": 13.816448045356553, ""importance_pct"": 1.7401031318498392}, {""rank"": 4, ""feature"": ""V87"", ""importance"": 12.568216848940503, ""importance_pct"": 1.5828955046054238}, {""rank"": 5, ""feature"": ""V201"", ""importance"": 10.575886364861883, ""importance_pct"": 1.3319727997507376}, {""rank"": 6, ""feature"": ""V172"", ""importance"": 10.487441885637455, ""importance_pct"": 1.3208337200981362}, {""rank"": 7, ""feature"": ""V283"", ""importance"": 10.263453541117991, ""importance_pct"": 1.292623660716979}, {""rank"": 8, ""feature"": ""V241"", ""importance"": 10.193375170023684, ""importance_pct"": 1.2837976880345774}, {""rank"": 9, ""feature"": ""V240"", ""importance"": 10.180497907184332, ""importance_pct"": 1.2821758699433539}, {""rank"": 10, ""feature"": ""V257"", ""importance"": 9.896852206133099, ""importance_pct"": 1.246452305455962}, {""rank"": 11, ""feature"": ""V229"", ""importance"": 9.597001863741351, ""importance_pct"": 1.2086878584599423}, {""rank"": 12, ""feature"": ""V225"", ""importance"": 9.168788042942177, ""importance_pct"": 1.1547567606678106}, {""rank"": 13, ""feature"": ""V44"", ""importance"": 9.114881497364093, ""importance_pct"": 1.1479675375274137}, {""rank"": 14, ""feature"": ""V200"", ""importance"": 8.914320924424159, ""importance_pct"": 1.122708072869587}, {""rank"": 15, ""feature"": ""V282"", ""importance"": 8.52861975376298, ""importance_pct"": 1.0741312018226736}, {""rank"": 16, ""feature"": ""V178"", ""importance"": 8.224028991474595, ""importance_pct"": 1.0357697258738188}, {""rank"": 17, ""feature"": ""V199"", ""importance"": 7.856496621596349, ""importance_pct"": 0.989481112057747}, {""rank"": 18, ""feature"": ""V174"", ""importance"": 7.824483300548966, ""importance_pct"": 0.9854492161585555}, {""rank"": 19, ""feature"": ""V123"", ""importance"": 7.570211172030648, ""importance_pct"": 0.95342508624294}, {""rank"": 20, ""feature"": ""V187"", ""importance"": 7.549138766959422, ""importance_pct"": 0.9507711365490914}]",
Logistic Regression - Reduced Feature Engineering,LogisticRegression,Reduced Feature Engineering,348,0.6975649405628747,0.08498085898578846,0.7974901574803149,0.15359461636889246,0.8248273537261622,0.1802265666532799,0.7457471130427074,0.19159712384211208,79147,34897,823,3241,0.8461887280206241,"{""C"": 2.9154431891537547}","[{""rank"": 1, ""feature"": ""V218"", ""importance"": 13.074718191092854, ""importance_pct"": 1.812213361505385}, {""rank"": 2, ""feature"": ""V45"", ""importance"": 12.466766878350926, ""importance_pct"": 1.7279486396205017}, {""rank"": 3, ""feature"": ""V258"", ""importance"": 12.189907027106623, ""importance_pct"": 1.6895746483530552}, {""rank"": 4, ""feature"": ""V87"", ""importance"": 11.055285830274892, ""importance_pct"": 1.532311167558}, {""rank"": 5, ""feature"": ""V283"", ""importance"": 10.488859272515112, ""importance_pct"": 1.4538019590778457}, {""rank"": 6, ""feature"": ""V201"", ""importance"": 9.332299283084872, ""importance_pct"": 1.293497665280075}, {""rank"": 7, ""feature"": ""V172"", ""importance"": 9.199115391710556, ""importance_pct"": 1.2750377930321022}, {""rank"": 8, ""feature"": ""V241"", ""importance"": 9.017844315533612, ""importance_pct"": 1.2499128257860692}, {""rank"": 9, ""feature"": ""V240"", ""importance"": 9.005470399804702, ""importance_pct"": 1.2481977467235357}, {""rank"": 10, ""feature"": ""V229"", ""importance"": 8.722307046607083, ""importance_pct"": 1.2089500624022798}, {""rank"": 11, ""feature"": ""V257"", ""importance"": 8.691372626655985, ""importance_pct"": 1.2046624159424126}, {""rank"": 12, ""feature"": ""V44"", ""importance"": 8.079342284504806, ""importance_pct"": 1.1198323226675402}, {""rank"": 13, ""feature"": ""V225"", ""importance"": 8.050710885794757, ""importance_pct"": 1.1158638850658573}, {""rank"": 14, ""feature"": ""V200"", ""importance"": 7.827412090712623, ""importance_pct"": 1.084913691406496}, {""rank"": 15, ""feature"": ""V282"", ""importance"": 7.784416526987514, ""importance_pct"": 1.0789543174506446}, {""rank"": 16, ""feature"": ""V178"", ""importance"": 7.326458225904813, ""importance_pct"": 1.0154792857058106}, {""rank"": 17, ""feature"": ""V123"", ""importance"": 7.2265380335968175, ""importance_pct"": 1.0016299082325664}, {""rank"": 18, ""feature"": ""V174"", ""importance"": 6.9172301391307185, ""importance_pct"": 0.9587584756725572}, {""rank"": 19, ""feature"": ""V199"", ""importance"": 6.894980388696994, ""importance_pct"": 0.955674562548248}, {""rank"": 20, ""feature"": ""V187"", ""importance"": 6.607595509659181, ""importance_pct"": 0.9158417562058728}]",
Decision Tree - Baseline,DecisionTree,Baseline,432,0.8150082974904325,0.1167191069350459,0.6663385826771654,0.1986429488355034,0.8250581688563634,0.3309756276535274,0.7433223901425531,0.22326603770347864,93551,20493,1356,2708,0.8385220587131459,"{""max_depth"": 8, ""min_samples_leaf"": 43, ""min_samples_split"": 20, ""max_features"": ""sqrt""}","[{""rank"": 1, ""feature"": ""V218"", ""importance"": 0.33027514626448706, ""importance_pct"": 33.027514626448706}, {""rank"": 2, ""feature"": ""V102"", ""importance"": 0.1359497076838674, ""importance_pct"": 13.594970768386741}, {""rank"": 3, ""feature"": ""C8"", ""importance"": 0.10861358515851074, ""importance_pct"": 10.861358515851075}, {""rank"": 4, ""feature"": ""card6"", ""importance"": 0.0620777570482878, ""importance_pct"": 6.20777570482878}, {""rank"": 5, ""feature"": ""V29"", ""importance"": 0.046187043841804686, ""importance_pct"": 4.618704384180469}, {""rank"": 6, ""feature"": ""V334"", ""importance"": 0.03152477933920627, ""importance_pct"": 3.152477933920627}, {""rank"": 7, ""feature"": ""V306"", ""importance"": 0.028708616893115293, ""importance_pct"": 2.8708616893115293}, {""rank"": 8, ""feature"": ""V69"", ""importance"": 0.026261696969840445, ""importance_pct"": 2.6261696969840447}, {""rank"": 9, ""feature"": ""V190"", ""importance"": 0.021442990360025387, ""importance_pct"": 2.1442990360025385}, {""rank"": 10, ""feature"": ""C14"", ""importance"": 0.017546737879505954, ""importance_pct"": 1.7546737879505954}, {""rank"": 11, ""feature"": ""C11"", ""importance"": 0.011955554996568394, ""importance_pct"": 1.1955554996568394}, {""rank"": 12, ""feature"": ""V288"", ""importance"": 0.010724058183305999, ""importance_pct"": 1.0724058183305998}, {""rank"": 13, ""feature"": ""V281"", ""importance"": 0.00935912013561311, ""importance_pct"": 0.9359120135613109}, {""rank"": 14, ""feature"": ""TransactionAmt"", ""importance"": 0.008968947893738435, ""importance_pct"": 0.8968947893738435}, {""rank"": 15, ""feature"": ""V280"", ""importance"": 0.008242125288964649, ""importance_pct"": 0.8242125288964649}, {""rank"": 16, ""feature"": ""V308"", ""importance"": 0.006690526101021384, ""importance_pct"": 0.6690526101021385}, {""rank"": 17, ""feature"": ""C2"", ""importance"": 0.0064529472923934884, ""importance_pct"": 0.6452947292393488}, {""rank"": 18, ""feature"": ""V47"", ""importance"": 0.005810035287575254, ""importance_pct"": 0.5810035287575255}, {""rank"": 19, ""feature"": ""V49"", ""importance"": 0.005380626914173847, ""importance_pct"": 0.5380626914173847}, {""rank"": 20, ""feature"": ""V168"", ""importance"": 0.004755446159047835, ""importance_pct"": 0.4755446159047835}]",
Decision Tree - Feature Engineering,DecisionTree,Feature Engineering,439,0.8180563552003252,0.11979053022037967,0.6754429133858267,0.20349160458134105,0.7965101991647373,0.33676090195957237,0.7492906755908826,0.22981938751548972,93874,20170,1319,2745,0.8451027937790752,"{""max_depth"": 13, ""min_samples_leaf"": 49, ""min_samples_split"": 15, ""max_features"": ""sqrt""}","[{""rank"": 1, ""feature"": ""V243"", ""importance"": 0.2196585881647733, ""importance_pct"": 21.96585881647733}, {""rank"": 2, ""feature"": ""V90"", ""importance"": 0.17559438274085348, ""importance_pct"": 17.55943827408535}, {""rank"": 3, ""feature"": ""C13"", ""importance"": 0.06070208904903946, ""importance_pct"": 6.0702089049039465}, {""rank"": 4, ""feature"": ""card6"", ""importance"": 0.05609862807011394, ""importance_pct"": 5.609862807011394}, {""rank"": 5, ""feature"": ""V134"", ""importance"": 0.05037730688198033, ""importance_pct"": 5.0377306881980335}, {""rank"": 6, ""feature"": ""C2"", ""importance"": 0.03560387669339146, ""importance_pct"": 3.5603876693391463}, {""rank"": 7, ""feature"": ""V139"", ""importance"": 0.03183743687497112, ""importance_pct"": 3.183743687497112}, {""rank"": 8, ""feature"": ""V38"", ""importance"": 0.018330028414387096, ""importance_pct"": 1.8330028414387096}, {""rank"": 9, ""feature"": ""V295"", ""importance"": 0.018270270940216146, ""importance_pct"": 1.8270270940216147}, {""rank"": 10, ""feature"": ""D15"", ""importance"": 0.014508247497381445, ""importance_pct"": 1.4508247497381446}, {""rank"": 11, ""feature"": ""D1"", ""importance"": 0.012626755712579298, ""importance_pct"": 1.2626755712579298}, {""rank"": 12, ""feature"": ""V203"", ""importance"": 0.012361382893999576, ""importance_pct"": 1.2361382893999577}, {""rank"": 13, ""feature"": ""V282"", ""importance"": 0.010495227073453154, ""importance_pct"": 1.0495227073453155}, {""rank"": 14, ""feature"": ""card2"", ""importance"": 0.009409381755252936, ""importance_pct"": 0.9409381755252936}, {""rank"": 15, ""feature"": ""V204"", ""importance"": 0.009215063701212955, ""importance_pct"": 0.9215063701212954}, {""rank"": 16, ""feature"": ""D2"", ""importance"": 0.009045495426087435, ""importance_pct"": 0.9045495426087435}, {""rank"": 17, ""feature"": ""V317"", ""importance"": 0.00797833274109443, ""importance_pct"": 0.797833274109443}, {""rank"": 18, ""feature"": ""C6"", ""importance"": 0.0072501925994796525, ""importance_pct"": 0.7250192599479652}, {""rank"": 19, ""feature"": ""TransactionDT"", ""importance"": 0.007243562408835658, ""importance_pct"": 0.7243562408835659}, {""rank"": 20, ""feature"": ""V296"", ""importance"": 0.0067924334585349215, ""importance_pct"": 0.6792433458534921}]",
Decision Tree - Reduced Baseline,DecisionTree,Reduced Baseline,342,0.8237375960984862,0.12098452628721383,0.6579724409448819,0.20438737292669876,0.8220835120845056,0.3320240625926113,0.7438085697411443,0.22789093891210466,94616,19428,1390,2674,0.8361627044853761,"{""max_depth"": 9, ""min_samples_leaf"": 64, ""min_samples_split"": 32, ""max_features"": ""sqrt""}","[{""rank"": 1, ""feature"": ""V70"", ""importance"": 0.3017468938790125, ""importance_pct"": 30.174689387901253}, {""rank"": 2, ""feature"": ""V275"", ""importance"": 0.18037771290106425, ""importance_pct"": 18.037771290106427}, {""rank"": 3, ""feature"": ""card3"", ""importance"": 0.07098776017086218, ""importance_pct"": 7.0987760170862195}, {""rank"": 4, ""feature"": ""C14"", ""importance"": 0.06441298597517776, ""importance_pct"": 6.441298597517778}, {""rank"": 5, ""feature"": ""V307"", ""importance"": 0.05007920009384467, ""importance_pct"": 5.007920009384468}, {""rank"": 6, ""feature"": ""V147"", ""importance"": 0.04063397655051893, ""importance_pct"": 4.063397655051894}, {""rank"": 7, ""feature"": ""V312"", ""importance"": 0.025012922624084458, ""importance_pct"": 2.501292262408446}, {""rank"": 8, ""feature"": ""V308"", ""importance"": 0.022247430891916182, ""importance_pct"": 2.2247430891916187}, {""rank"": 9, ""feature"": ""card6"", ""importance"": 0.017571831747349134, ""importance_pct"": 1.7571831747349136}, {""rank"": 10, ""feature"": ""D2"", ""importance"": 0.014201634869762702, ""importance_pct"": 1.4201634869762705}, {""rank"": 11, ""feature"": ""V309"", ""importance"": 0.012361318673142668, ""importance_pct"": 1.236131867314267}, {""rank"": 12, ""feature"": ""D15"", ""importance"": 0.011904650649048732, ""importance_pct"": 1.1904650649048734}, {""rank"": 13, ""feature"": ""C1"", ""importance"": 0.010628210632872635, ""importance_pct"": 1.0628210632872637}, {""rank"": 14, ""feature"": ""V306"", ""importance"": 0.009589861622069259, ""importance_pct"": 0.958986162206926}, {""rank"": 15, ""feature"": ""V189"", ""importance"": 0.009473243509428561, ""importance_pct"": 0.9473243509428563}, {""rank"": 16, ""feature"": ""V285"", ""importance"": 0.00907145480045885, ""importance_pct"": 0.9071454800458851}, {""rank"": 17, ""feature"": ""C4"", ""importance"": 0.008789069015836565, ""importance_pct"": 0.8789069015836567}, {""rank"": 18, ""feature"": ""C7"", ""importance"": 0.008279843348679967, ""importance_pct"": 0.8279843348679969}, {""rank"": 19, ""feature"": ""addr2"", ""importance"": 0.007615136759681092, ""importance_pct"": 0.7615136759681093}, {""rank"": 20, ""feature"": ""V63"", ""importance"": 0.007370619625667766, ""importance_pct"": 0.7370619625667767}]",
Decision Tree - Reduced Feature Engineering,DecisionTree,Reduced Feature Engineering,348,0.8306211264266603,0.13029361287629296,0.6911909448818898,0.21925613706435623,0.8306583512403832,0.35056973611609354,0.7633903586252246,0.2485734519315578,95294,18750,1255,2809,0.8482442684450417,"{""max_depth"": 8, ""min_samples_leaf"": 26, ""min_samples_split"": 19, ""max_features"": null}","[{""rank"": 1, ""feature"": ""V258"", ""importance"": 0.2875852817575401, ""importance_pct"": 28.758528175754012}, {""rank"": 2, ""feature"": ""V317"", ""importance"": 0.17215745479357378, ""importance_pct"": 17.215745479357377}, {""rank"": 3, ""feature"": ""C14"", ""importance"": 0.12914069495474645, ""importance_pct"": 12.914069495474646}, {""rank"": 4, ""feature"": ""C4"", ""importance"": 0.08487575386830835, ""importance_pct"": 8.487575386830835}, {""rank"": 5, ""feature"": ""M4"", ""importance"": 0.04676278351623246, ""importance_pct"": 4.676278351623246}, {""rank"": 6, ""feature"": ""card6"", ""importance"": 0.0381735481682896, ""importance_pct"": 3.81735481682896}, {""rank"": 7, ""feature"": ""C1"", ""importance"": 0.03533228512491932, ""importance_pct"": 3.5332285124919323}, {""rank"": 8, ""feature"": ""TransactionDT"", ""importance"": 0.017331261603404285, ""importance_pct"": 1.7331261603404284}, {""rank"": 9, ""feature"": ""TransactionAmt"", ""importance"": 0.016970045858008875, ""importance_pct"": 1.6970045858008875}, {""rank"": 10, ""feature"": ""V306"", ""importance"": 0.016118289531678206, ""importance_pct"": 1.6118289531678205}, {""rank"": 11, ""feature"": ""V91"", ""importance"": 0.011739964435887184, ""importance_pct"": 1.1739964435887185}, {""rank"": 12, ""feature"": ""C13"", ""importance"": 0.010762047897844598, ""importance_pct"": 1.0762047897844598}, {""rank"": 13, ""feature"": ""V283"", ""importance"": 0.010242142734639465, ""importance_pct"": 1.0242142734639466}, {""rank"": 14, ""feature"": ""V210"", ""importance"": 0.009463236947608982, ""importance_pct"": 0.9463236947608983}, {""rank"": 15, ""feature"": ""D15"", ""importance"": 0.00870511876589033, ""importance_pct"": 0.870511876589033}, {""rank"": 16, ""feature"": ""V309"", ""importance"": 0.00822320282881799, ""importance_pct"": 0.822320282881799}, {""rank"": 17, ""feature"": ""D1"", ""importance"": 0.006102224500073439, ""importance_pct"": 0.6102224500073439}, {""rank"": 18, ""feature"": ""C5"", ""importance"": 0.005885341805372441, ""importance_pct"": 0.5885341805372442}, {""rank"": 19, ""feature"": ""V53"", ""importance"": 0.005109483644987005, ""importance_pct"": 0.5109483644987005}, {""rank"": 20, ""feature"": ""V310"", ""importance"": 0.004865663422834229, ""importance_pct"": 0.4865663422834229}]",
RF - Baseline,RandomForest,Baseline,432,0.9295475327666204,0.26896776294366653,0.609744094488189,0.37327709572945694,0.8958665566415587,0.4875224999493346,0.7753439703614877,0.374295091059431,107309,6735,1586,2478,0.9008453220837603,"{""n_estimators"": 250, ""max_depth"": 25, ""min_samples_leaf"": 13, ""max_features"": ""sqrt""}",[],
RF - Feature Engineering,RandomForest,Feature Engineering,439,0.9305296846953636,0.27103837222160787,0.6031003937007874,0.3739986266880293,0.8960760750374839,0.48849503665146254,0.7726490709691549,0.37380759486611387,107452,6592,1613,2451,0.9001095734686819,"{""n_estimators"": 250, ""max_depth"": 25, ""min_samples_leaf"": 13, ""max_features"": ""sqrt""}",[],
