submission,private_score,public_score
72_CatBoost_Reduced_Feature_Engineering_Undersampling_submission.csv,0.904841,0.927412
71_CatBoost_Reduced_Baseline_Undersampling_submission.csv,0.902549,0.927049
70_CatBoost_Feature_Engineering_Undersampling_submission.csv,0.905317,0.927658
69_CatBoost_Baseline_Undersampling_submission.csv,0.904317,0.925192
68_XGBoost_Reduced_Feature_Engineering_Undersampling_submission.csv,0.905366,0.930231
67_XGBoost_Reduced_Baseline_Undersampling_submission.csv,0.903570,0.931892
66_XGBoost_Feature_Engineering_Undersampling_submission.csv,0.905182,0.932406
65_XGBoost_Baseline_Undersampling_submission.csv,0.902535,0.930992
64_LightGBM_Reduced_Feature_Engineering_Undersampling_submission.csv,0.904538,0.931919
63_LightGBM_Reduced_Baseline_Undersampling_submission.csv,0.898067,0.929406
62_LightGBM_Feature_Engineering_Undersampling_submission.csv,0.905795,0.932816
61_LightGBM_Baseline_Undersampling_submission.csv,0.901488,0.930432
60_RandomForest_Reduced_Feature_Engineering_Undersampling_submission.csv,0.890559,0.910666
59_RandomForest_Reduced_Baseline_Undersampling_submission.csv,0.889393,0.909034
58_RandomForest_Feature_Engineering_Undersampling_submission.csv,0.889681,0.907490
57_RandomForest_Baseline_Undersampling_submission.csv,0.888870,0.906983
56_DecisionTree_Reduced_Feature_Engineering_Undersampling_submission.csv,0.846837,0.871820
55_DecisionTree_Reduced_Baseline_Undersampling_submission.csv,0.828805,0.857707
54_DecisionTree_Feature_Engineering_Undersampling_submission.csv,0.831216,0.858813
53_DecisionTree_Baseline_Undersampling_submission.csv,0.838259,0.863929
52_LogisticRegression_Reduced_Feature_Engineering_Undersampling_submission.csv,0.784343,0.863903
51_LogisticRegression_Reduced_Baseline_Undersampling_submission.csv,0.818456,0.865414
50_LogisticRegression_Feature_Engineering_Undersampling_submission.csv,0.719641,0.865683
49_LogisticRegression_Baseline_Undersampling_submission.csv,0.817567,0.865112
48_CatBoost_Reduced_Feature_Engineering_SMOTE_submission.csv,0.899365,0.918631
47_CatBoost_Reduced_Baseline_SMOTE_submission.csv,0.899861,0.919088
46_CatBoost_Feature_Engineering_SMOTE_submission.csv,0.896847,0.917307
45_CatBoost_Baseline_SMOTE_submission.csv,0.898038,0.917120
44_XGBoost_Reduced_Feature_Engineering_SMOTE_submission.csv,0.910601,0.933001
43_XGBoost_Reduced_Baseline_SMOTE_submission.csv,0.909864,0.933861
42_XGBoost_Feature_Engineering_SMOTE_submission.csv,0.906218,0.928820
41_XGBoost_Baseline_SMOTE_submission.csv,0.908788,0.932578
40_LightGBM_Reduced_Feature_Engineering_SMOTE_submission.csv,0.912805,0.933612
39_LightGBM_Reduced_Baseline_SMOTE_submission.csv,0.899668,0.936670
38_LightGBM_Feature_Engineering_SMOTE_submission.csv,0.910789,0.934200
37_LightGBM_Baseline_SMOTE_submission.csv,0.905171,0.934653
36_RandomForest_Reduced_Feature_Engineering_SMOTE_submission.csv,0.888987,0.909698
35_RandomForest_Reduced_Baseline_SMOTE_submission.csv,0.886627,0.907149
34_RandomForest_Feature_Engineering_SMOTE_submission.csv,0.889177,0.908317
33_RandomForest_Baseline_SMOTE_submission.csv,0.887756,0.907257
32_DecisionTree_Reduced_Feature_Engineering_SMOTE_submission.csv,0.828465,0.845273
31_DecisionTree_Reduced_Baseline_SMOTE_submission.csv,0.808269,0.833718
30_DecisionTree_Feature_Engineering_SMOTE_submission.csv,0.815009,0.844150
29_DecisionTree_Baseline_SMOTE_submission.csv,0.811088,0.829906
28_LogisticRegression_Reduced_Feature_Engineering_SMOTE_submission.csv,0.784019,0.859388
27_LogisticRegression_Reduced_Baseline_SMOTE_submission.csv,0.806310,0.861176
26_LogisticRegression_Feature_Engineering_SMOTE_submission.csv,0.707869,0.861734
25_LogisticRegression_Baseline_SMOTE_submission.csv,0.803930,0.862679
24_CatBoost_Reduced_Feature_Engineering_submission.csv,0.900872,0.929580
23_CatBoost_Reduced_Baseline_submission.csv,0.890205,0.928741
22_CatBoost_Feature_Engineering_submission.csv,0.892827,0.927740
21_CatBoost_Baseline_submission.csv,0.894926,0.929635
20_XGBoost_Reduced_Feature_Engineering_submission.csv,0.881090,0.924648
19_XGBoost_Reduced_Baseline_submission.csv,0.876997,0.921236
18_XGBoost_Feature_Engineering_submission.csv,0.886464,0.921505
17_XGBoost_Baseline_submission.csv,0.878406,0.922626
16_LightGBM_Reduced_Feature_Engineering_submission.csv,0.899094,0.931385
15_LightGBM_Reduced_Baseline_submission.csv,0.887293,0.925746
14_LightGBM_Feature_Engineering_submission.csv,0.892419,0.929777
13_LightGBM_Baseline_submission.csv,0.889158,0.928365
12_RandomForest_Reduced_Feature_Engineering_submission.csv,0.888158,0.916209
11_RandomForest_Reduced_Baseline_submission.csv,0.887250,0.914696
10_RandomForest_Feature_Engineering_submission.csv,0.893609,0.918548
09_RandomForest_Baseline_submission.csv,0.891304,0.916594
08_DecisionTree_Reduced_Feature_Engineering_submission.csv,0.833603,0.859495
07_DecisionTree_Reduced_Baseline_submission.csv,0.823711,0.853100
06_DecisionTree_Feature_Engineering_submission.csv,0.816651,0.838349
05_DecisionTree_Baseline_submission.csv,0.828765,0.849576
04_LogisticRegression_Reduced_Feature_Engineering_submission.csv,0.790336,0.864803
03_LogisticRegression_Reduced_Baseline_submission.csv,0.818696,0.865955
02_LogisticRegression_Feature_Engineering_submission.csv,0.714850,0.866060
01_LogisticRegression_Baseline_submission.csv,0.814680,0.866195
